# ----------------------------------------
# Landing page: Landing page
# Account: ThinkMove Solutions
# Property: ThinkMove Solutions
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260509
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/privacy-policy,7,5,4,303.57142857142856,0,0,0
,6,0,0,0,0,0,0
/blogs/zoom-reseller-vs-direct-purchase,6,6,6,33.5,0,0,0
/customer-support,6,6,6,0.8333333333333334,0,0,0
/devops,6,5,5,0.16666666666666666,0,0,0
/faq/why-is-cloud-consulting-important-for-businesses-in-kathmandu,6,6,6,0,0,0,0
/google-cloud,6,6,6,0,0,0,0
/blogs/zoom-for-education-in-nepal-guide,5,5,5,66.8,0,0,0
/bulk-sms,4,4,4,0.25,0,0,0
/communication,4,4,5,0,0,0,0
/faq/how-secure-is-your-cloud-infrastructure,4,4,4,0,0,0,0
/faq/what-benefits-can-i-expect-from-using-a-cloud-consulting-company-in-nepal,4,4,4,0.25,0,0,0
/mobile-app-development-company,4,4,4,0,0,0,0
/site-redesign,4,3,2,10,0,0,0
/staff-augmentation,4,4,4,0,0,0,0
/testimonials/sam-smith,4,4,4,1.5,0,0,0
/testimonials/telenet,4,4,4,0,0,0,0
/top-cloud-computing-companies-in-california,4,4,4,0.75,0,0,0
/blogs/understanding-zoom-partners-in-nepal,3,3,3,43,0,0,0
/communication/Cybersecurity,3,3,3,0,0,0,0
/faq/can-you-assist-with-cloud-migration,3,3,2,7.333333333333333,0,0,0
/faq/what-cloud-services-does-thinkmove-provide-in-nepal,3,3,3,0,0,0,0
/it-outsourcing/software-development,3,3,3,0,0,0,0
/react,3,3,3,0,0,0,0
/services/aws,3,3,3,0,0,0,0
/z0f76a1d14fd21a8fb5fd0d03e0fdc3d3cedae52f,3,2,1,38.666666666666664,0,0,0
/blogs/thinkmove-solutions-new-it-software-company-office-in-sanepa-kathmandu/Cybersecurity,2,2,2,0,0,0,0
/careers/test-4,2,2,2,2,0,0,0
/cloud-service,2,2,2,0,0,0,0
/cloud-services/digital-ocean,2,2,2,0,0,0,0
/cloud-services/microsoft-azure,2,2,2,0,0,0,0
/devops-as-a-service-providers,2,2,2,3.5,0,0,0
/faq/how-can-a-cloud-consulting-company-in-nepal-improve-my-business-it-infrastructure,2,2,2,1,0,0,0
/faq/what-it-outsourcing-services-do-you-provide,2,2,2,0,0,0,0
/faq/what-makes-thinkmove-a-trusted-choice-for-cloud-consulting-in-nepal,2,2,2,1,0,0,0
/faq/why-should-i-choose-thinkmove-for-my-cloud-strategy,2,2,2,0,0,0,0
/page/Cybersecurity,2,2,2,0,0,0,0
/page/about-us,2,2,2,0,0,0,0
/service/software-development,2,2,2,0,0,0,0
/team/pradeep-pokharel,2,2,2,0,0,0,0
/testimonials,2,2,2,0,0,0,0
/Cybersecurity/Cybersecurity,1,1,1,0,0,0,0
/aws,1,1,1,0,0,0,0
/blogs/(redacted),1,1,1,0,0,0,0
/blogs/amazon-bedrock-explained,1,1,1,0,0,0,0
/blogs/zoom-not-working-troubleshoot-guide/(redacted),1,1,1,0,0,0,0
/careers/test-3/Cybersecurity,1,1,1,0,0,0,0
/category/uncategorized,1,1,1,0,0,0,0
/cloud-services/devops-service/communication/Cybersecurity,1,1,1,0,0,0,0
/contact,1,1,1,0,0,0,0
/digital-ocean,1,1,1,0,0,0,0
/faq,1,1,0,26,0,0,0
/faq/how-can-a-cloud-consulting-company-in-nepal-improve-my-business-it-infrastructure/Cybersecurity,1,1,1,0,0,0,0
/faq/what-benefits-can-i-expect-from-using-a-cloud-consulting-company-in-nepal/Cybersecurity,1,1,1,0,0,0,0
/faq/what-cloud-services-do-you-offer,1,1,1,0,0,0,0
/faq/what-makes-thinkmove-solutions-one-of-the-top-cloud-consulting-companies-in-nepal,1,1,1,0,0,0,0
/faq/what-types-of-cloud-services-does-thinkmove-solutions-provide-in-nepal,1,1,1,0,0,0,0
/htm-css-js,1,1,1,0,0,0,0
/it-outsourcing/recruitment-services/communication/Cybersecurity,1,1,1,0,0,0,0
/it-outsourcing/software-development/mobile-app-development/digital-marketing/Cybersecurity,1,1,1,0,0,0,0
/landing-page,1,1,1,0,0,0,0
/plans/enterprise/Cybersecurity,1,1,1,0,0,0,0
/plans/pro-plan,1,1,1,0,0,0,0
/plans/zoom-business-plan,1,1,1,0,0,0,0
/plans/zoom-enterprise-plan,1,1,1,0,0,0,0
/plans/zoom-webinar-plan,1,1,1,0,0,0,0
/services/data-engineering,1,1,1,0,0,0,0
/services/google-workspace,1,1,1,0,0,0,0
/staff-augmentation/Cybersecurity,1,1,1,0,0,0,0
/team/aashish-bari,1,1,0,32,0,0,0
/team/dipendra-mainali/Cybersecurity,1,1,1,1,0,0,0
/team/rajeev-neupane,1,1,1,2,0,0,0
/team/sonam-lama-2,1,1,1,0,0,0,0
/team/sonam-lama-2/Cybersecurity,1,1,1,0,0,0,0
/testimonials/john-doe,1,1,1,0,0,0,0
